platform,row.complexity,n.rows,time.in.ns,memory.usage.in.mb,date.test.performed
isa4J,reduced,10,2940421,-1,2020-07-26T20:22:41.935309
isa4J,reduced,10,2840053,-1,2020-07-26T20:22:41.969488
isa4J,reduced,10,2754574,-1,2020-07-26T20:22:42.004326
isa4J,reduced,10,2780491,-1,2020-07-26T20:22:42.039711
isa4J,reduced,10,2782154,-1,2020-07-26T20:22:42.074769
isa4J,reduced,10,2741091,-1,2020-07-26T20:22:42.108104
isa4J,reduced,10,2775669,-1,2020-07-26T20:22:42.141566
isa4J,reduced,10,2765680,-1,2020-07-26T20:22:42.176755
isa4J,reduced,10,2733249,-1,2020-07-26T20:22:42.212400
isa4J,reduced,10,2787545,-1,2020-07-26T20:22:42.244178
isa4J,reduced,10,2703928,-1,2020-07-26T20:22:42.279305
isa4J,reduced,10,2814711,-1,2020-07-26T20:22:42.314065
isa4J,reduced,10,2721122,-1,2020-07-26T20:22:42.347932
isa4J,reduced,10,2788456,-1,2020-07-26T20:22:42.382800
isa4J,reduced,25,3344094,-1,2020-07-26T20:22:42.414821
isa4J,reduced,25,3314128,-1,2020-07-26T20:22:42.448895
isa4J,reduced,25,3292949,-1,2020-07-26T20:22:42.485358
isa4J,reduced,25,3254061,-1,2020-07-26T20:22:42.519424
isa4J,reduced,25,3141356,-1,2020-07-26T20:22:42.553848
isa4J,reduced,25,3103477,-1,2020-07-26T20:22:42.588244
isa4J,reduced,25,3374908,-1,2020-07-26T20:22:42.621260
isa4J,reduced,25,3170846,-1,2020-07-26T20:22:42.657027
isa4J,reduced,25,3214186,-1,2020-07-26T20:22:42.692824
isa4J,reduced,25,3223084,-1,2020-07-26T20:22:42.726565
isa4J,reduced,25,3315732,-1,2020-07-26T20:22:42.759476
isa4J,reduced,25,3368765,-1,2020-07-26T20:22:42.795695
isa4J,reduced,25,3177057,-1,2020-07-26T20:22:42.830581
isa4J,reduced,25,3122267,-1,2020-07-26T20:22:42.866010
isa4J,reduced,25,3244756,-1,2020-07-26T20:22:42.900395
isa4J,reduced,50,4105340,-1,2020-07-26T20:22:42.934772
isa4J,reduced,50,3991909,-1,2020-07-26T20:22:42.970848
isa4J,reduced,50,3983930,-1,2020-07-26T20:22:43.005918
isa4J,reduced,50,4028504,-1,2020-07-26T20:22:43.042321
isa4J,reduced,50,3765749,-1,2020-07-26T20:22:43.078468
isa4J,reduced,50,3876486,-1,2020-07-26T20:22:43.113739
isa4J,reduced,50,3836628,-1,2020-07-26T20:22:43.150094
isa4J,reduced,50,4052947,-1,2020-07-26T20:22:43.188791
isa4J,reduced,50,4003864,-1,2020-07-26T20:22:43.226254
isa4J,reduced,50,3925568,-1,2020-07-26T20:22:43.260656
isa4J,reduced,50,3823015,-1,2020-07-26T20:22:43.295960
isa4J,reduced,50,3688200,-1,2020-07-26T20:22:43.332349
isa4J,reduced,50,3794528,-1,2020-07-26T20:22:43.368652
isa4J,reduced,50,3680208,-1,2020-07-26T20:22:43.404341
isa4J,reduced,50,3866271,-1,2020-07-26T20:22:43.441621
isa4J,reduced,100,5468143,-1,2020-07-26T20:22:43.478610
isa4J,reduced,100,5194502,-1,2020-07-26T20:22:43.514974
isa4J,reduced,100,5368745,-1,2020-07-26T20:22:43.554327
isa4J,reduced,100,5412820,-1,2020-07-26T20:22:43.592186
isa4J,reduced,100,5250732,-1,2020-07-26T20:22:43.630046
isa4J,reduced,100,5349979,-1,2020-07-26T20:22:43.667857
isa4J,reduced,100,5265073,-1,2020-07-26T20:22:43.704670
isa4J,reduced,100,8704790,-1,2020-07-26T20:22:43.746317
isa4J,reduced,100,5420754,-1,2020-07-26T20:22:43.786669
isa4J,reduced,100,5303975,-1,2020-07-26T20:22:43.825484
isa4J,reduced,100,5020460,-1,2020-07-26T20:22:43.863962
isa4J,reduced,100,5387994,-1,2020-07-26T20:22:43.901404
isa4J,reduced,100,5458446,-1,2020-07-26T20:22:43.939533
isa4J,reduced,100,5340634,-1,2020-07-26T20:22:43.975458
isa4J,reduced,100,6080598,-1,2020-07-26T20:22:44.013749
isa4J,reduced,250,9736964,-1,2020-07-26T20:22:44.057656
isa4J,reduced,250,9796570,-1,2020-07-26T20:22:44.101040
isa4J,reduced,250,9730089,-1,2020-07-26T20:22:44.143854
isa4J,reduced,250,10465567,-1,2020-07-26T20:22:44.192861
isa4J,reduced,250,9739392,-1,2020-07-26T20:22:44.226140
isa4J,reduced,250,9708643,-1,2020-07-26T20:22:44.270470
isa4J,reduced,250,9705832,-1,2020-07-26T20:22:44.314479
isa4J,reduced,250,9969614,-1,2020-07-26T20:22:44.362537
isa4J,reduced,250,9369195,-1,2020-07-26T20:22:44.394418
